Date,Count
2010/01/01,null
2010/01/02,null
2010/01/03,null
2010/01/04,null
2010/01/05,null
2010/01/06,null
2010/01/07,null
2010/01/08,null
2010/01/09,null
2010/01/10,null
2010/01/11,null
2010/01/12,null
2010/01/13,null
2010/01/14,null
2010/01/15,null
2010/01/16,null
2010/01/17,null
2010/01/18,null
2010/01/19,null
2010/01/20,0.000534
2010/01/21,null
2010/01/22,null
2010/01/23,null
2010/01/24,null
2010/01/25,null
2010/01/26,null
2010/01/27,0.000529
2010/01/28,0.000534
2010/01/29,null
2010/01/30,null
2010/01/31,0.000688
2010/02/01,null
2010/02/02,null
2010/02/03,null
2010/02/04,null
2010/02/05,null
2010/02/06,null
2010/02/07,null
2010/02/08,0.000991
2010/02/09,null
2010/02/10,null
2010/02/11,null
2010/02/12,null
2010/02/13,null
2010/02/14,null
2010/02/15,null
2010/02/16,null
2010/02/17,0.00107
2010/02/18,0.00107
2010/02/19,0.00107
2010/02/20,null
2010/02/21,null
2010/02/22,null
2010/02/23,null
2010/02/24,null
2010/02/25,0.00107
2010/02/26,null
2010/02/27,null
2010/02/28,null
2010/03/01,null
2010/03/02,null
2010/03/03,null
2010/03/04,null
2010/03/05,0.00107
2010/03/06,null
2010/03/07,null
2010/03/08,null
2010/03/09,null
2010/03/10,null
2010/03/11,0.000991
2010/03/12,null
2010/03/13,null
2010/03/14,null
2010/03/15,null
2010/03/16,null
2010/03/17,null
2010/03/18,null
2010/03/19,null
2010/03/20,null
2010/03/21,null
2010/03/22,null
2010/03/23,null
2010/03/24,null
2010/03/25,0.00107
2010/03/26,null
2010/03/27,null
2010/03/28,null
2010/03/29,null
2010/03/30,0.00107
2010/03/31,null
2010/04/01,null
2010/04/02,null
2010/04/03,null
2010/04/04,null
2010/04/05,null
2010/04/06,0.00793
2010/04/07,null
2010/04/08,null
2010/04/09,null
2010/04/10,null
2010/04/11,null
2010/04/12,0.00743
2010/04/13,null
2010/04/14,null
2010/04/15,null
2010/04/16,null
2010/04/17,null
2010/04/18,null
2010/04/19,null
